0,176,35
0,470,98
0,1294,282
0,1701,358
0,1245,344
0,1232,357
0,1083,301
0,1060,345
0,1161,337
0,1216,362
0,1372,498
0,1717,507
0,1438,556
0,1594,465
0,1320,410
0,784,309
0,665,244
0,653,174
0,511,139
0,351,98
0,159,73
0,178,74
0,140,58
0,91,25
0,183,44
0,464,103
0,1349,263
0,1622,308
0,1468,345
0,1301,308
0,1109,285
0,1082,319
0,1198,368
0,1273,354
0,1426,501
0,1683,547
0,1277,547
0,1574,545
0,1431,432
0,908,317
0,901,353
0,723,240
0,537,160
0,305,106
0,178,83
0,126,69
0,91,54
0,75,31
0,182,41
0,512,107
0,1318,264
0,1715,346
0,1407,343
0,1437,344
0,1344,308
0,1137,351
0,1144,320
0,1206,322
0,1287,517
0,1737,476
0,1456,586
0,1522,499
0,1470,444
0,939,356
0,859,310
0,711,228
0,575,187
0,383,108
0,210,78
0,136,70
0,98,64
0,80,27
0,184,43
0,507,104
0,1260,256
0,1541,315
0,1391,350
0,1442,339
0,1132,332
0,1119,364
0,1195,391
0,1281,343
0,1328,501
0,749,539
0,888,620
0,1060,575
0,1022,410
0,955,290
0,839,318
0,867,282
0,598,198
0,392,109
0,256,76
0,179,78
0,128,51
0,124,29
0,162,45
0,457,89
0,1202,256
0,1714,343
0,1472,348
0,1245,384
0,1212,335
0,1201,385
0,1289,434
0,1354,392
0,825,504
0,127,525
0,1440,505
0,1395,455
0,1066,376
0,684,317
0,748,283
0,704,280
0,661,247
0,552,164
0,350,101
0,247,60
0,235,67
0,143,34
0,116,22
0,152,42
0,291,69
0,479,115
0,710,242
0,838,272
0,958,299
0,1016,353
0,1057,351
0,1049,416
0,1069,415
0,1078,423
0,1042,386
0,900,379
0,857,369
0,774,300
0,719,251
0,697,230
0,619,169
0,512,123
0,343,68
0,338,64
0,310,37
0,193,35
0,114,25
0,97,29
0,172,39
0,274,54
0,398,103
0,627,184
0,902,256
0,1034,279
0,1108,338
0,1190,273
0.0625,1088,308
0.125,998,296
0.1875,851,354
0.25,761,298
0.505,712,288
0.76,673,231
1.27,619,204
0.51,606,165
1.02,493,141
0.76,375,105
1.27,217,63
0.25,182,36
0.25,169,22
0.51,113,17
0.76,90,26
1.27,119,36
1.27,191,41
1.78,313,62
2.03,370,125
0.76,531,151
0.25,729,210
0,963,311
0,1032,318
0,1013,385
0,1048,393
0,1026,360
0,1227,328
0,914,301
0,847,317
0,683,260
0,593,211
0,523,206
0,430,140
0,314,88
0,172,29
0,87,22
0,62,13
0,63,17
0,176,48
0,480,95
0,1340,250
0,1743,325
0,1446,345
0,1273,340
0,982,312
0,1078,359
0,1107,357
0,1057,348
0,1159,475
0,1241,478
1.27,1437,501
2.79,1329,463
2.79,1289,415
2.03,760,292
1.52,683,266
1.52,622,194
1.78,540,164
1.27,464,111
1.02,187,81
0.76,139,59
0,78,50
0,85,31
0,187,41
0,491,97
0,1320,266
0,1734,332
0,1300,405
0,1433,346
0,1095,317
0,1103,209
0,1164,370
0,1160,387
0,1315,474
0,1420,528
0,1387,574
0,1117,582
0,1013,413
0,867,343
0,839,273
0,731,293
0,539,214
0,378,130
0,203,71
0,140,56
0,96,67
0,90,30
0,174,59
0,499,113
0,1380,276
0,1655,354
0,1272,371
0,1359,367
0,1181,327
0,1161,379
0,1139,385
0,1274,379
0,1205,535
0,360,538
0,736,521
0,118,501
0,902,398
0,914,346
0,803,311
0,850,287
0,556,207
0,365,126
0,211,90
0,168,73
0,143,51
0,114,28
0,183,46
0,500,101
0,1247,286
0,1730,363
0,1385,401
1.27,1239,408
2.54,1174,319
0.51,1147,368
0,1245,419
0,1271,393
0,1199,440
0,1430,480
1.78,1488,531
3.81,1400,527
5.84,1347,354
1.02,925,309
1.02,836,234
2.79,790,270
0.76,776,249
1.27,628,188
0.25,372,111
0.42,254,84
0.59,235,54
0.76,179,29
0.38,117,30
0,225,48
0,354,76
0,679,144
0,875,276
0,1030,312
0,1155,370
0,1259,425
0,1340,427
0,1301,454
0,1365,465
0,1283,508
0,1324,431
0,1235,373
0,1147,410
0,945,349
0,879,286
0,887,237
0,805,233
0,656,161
0,440,103
0,280,61
0,275,31
0,168,40
0,129,19
0,133,30
0,219,66
0,467,57
0,519,118
0,750,206
0,960,305
0,1187,306
0,1341,395
0,1343,363
0,1244,390
0,1239,398
0,1282,402
0,1325,441
0,980,374
0,902,290
0,755,255
0,717,211
0,487,148
0,366,87
0,181,41
0,110,25
0,90,19
0,96,19
0,164,48
0,507,120
0,1344,292
0,1698,341
0,1388,374
0,1330,331
0,1110,323
0,1113,329
0,1156,363
0,1113,385
0,1302,524
0,1396,523
0,1333,605
0,1163,523
0,1098,405
0,988,342
0,806,312
0,682,266
0,657,202
0,363,104
0,206,90
0,138,59
0,101,56
0,66,30
0,170,51
0,518,106
0,1361,287
0,1644,313
0,1321,354
0,1373,364
0,1006,289
0,1099,327
0,1095,394
0,1205,377
0,1353,524
0,1668,523
0,1569,584
0,1523,545
0,1374,421
0,883,322
0,795,306
0,750,253
0,502,199
0,364,100
0,196,70
0,145,65
0,94,67
0,87,27
0,173,47
0,509,117
0,1370,266
0,1531,354
0,1060,336
0,1288,357
0,1100,330
0,1163,332
0,1017,336
0,1190,416
0,1279,481
0,1489,532
0,1370,554
0,1428,450
3.3,1294,409
8.64,900,311
0.51,752,256
0.51,689,225
3.05,543,176
5.59,490,124
1.78,567,80
0.25,328,71
0,131,57
0,99,25
0,166,53
0,493,98
0,1350,282
0,1707,317
0,1392,330
0,1379,339
0,1149,321
0,1177,377
0,1224,396
0,1276,419
0,1330,535
0,1679,535
0,1544,609
0,1601,476
0,1426,404
0,1060,354
0,800,320
0,770,288
0,709,222
0,489,147
0,243,93
0,186,73
0,135,79
0,112,36
0,179,49
0,462,92
0,1277,237
0,1777,309
0,1566,312
0,1322,338
0,1147,338
0,1241,382
0,1328,466
0,1277,400
0,1450,526
0,1530,531
0,886,547
0,605,476
0,1300,355
0,963,352
0,862,298
0,986,331
0,986,280
0,727,203
0,430,116
0,338,81
0,279,51
0,186,25
0,145,34
0,235,39
0,441,76
0,649,159
0,861,246
0,1009,283
0,1186,359
0,1273,415
0,1289,402
0,1302,410
0,1339,454
0,1373,414
0,1330,389
0,1307,390
0,1171,389
0,1030,298
0,893,296
0,914,249
0,926,203
0,696,141
0.253333333,434,93
0.506666667,336,73
0.76,385,30
0,184,29
0,105,19
4.32,161,34
2.03,277,42
6.1,467,62
3.05,525,102
0,761,205
0,1048,322
0,1192,327
0,1336,393
0,1334,350
0,1309,379
0,1251,364
0,1067,345
0,1215,400
0,1080,380
0,841,312
0,793,227
0,708,179
0,598,141
0,413,91
0,237,39
0,131,24
0,113,15
0,101,26
0,216,45
0,570,100
0,1449,243
0,1649,267
0,1293,318
0,1395,300
0,1189,326
0,1253,345
0,1321,398
0,1305,388
0,1445,494
0,1083,506
0,612,531
0,482,526
0,559,422
0,884,307
0,902,293
0,869,264
0,797,199
0,396,117
0,211,85
0,170,77
0,112,55
0,88,32
0,205,55
0,541,107
0,1475,263
0,1651,263
0,1181,294
0,1370,273
0,1171,335
0,1195,357
0,1273,371
0,1299,372
0,836,327
0,989,438
0,542,534
0,489,506
0,675,412
0,868,371
0,843,316
0,850,238
0,830,187
0,500,133
0,239,78
0.125,191,71
0.25,119,54
0,87,33
0,194,48
0,590,109
0,1435,248
0,1540,241
0,1170,307
0,1394,302
0,1182,274
0,1243,350
0,1329,371
0,1399,424
0,1427,497
0,993,480
0,607,513
0,473,552
0,751,423
0,991,357
0,1009,290
0,921,283
0,865,218
0,453,116
0,280,65
0,164,69
0,121,72
0,114,35
0,193,49
0,508,117
0,1276,243
0.083333333,1483,264
0.166666667,1105,278
0.25,1240,290
0.505,1185,303
0.76,1261,356
1.27,1257,363
0.76,1277,366
0.25,1377,467
0.51,938,509
0.3825,590,556
0.255,448,515
0.1275,812,378
0,945,291
0,949,304
0,901,248
0,702,209
0,482,138
0,252,76
0,183,71
0,133,67
0,101,31
0,221,47
0,554,99
0,1394,199
0,1814,268
0,1485,313
0,1352,326
0,1289,361
0,1323,395
0,1322,458
0,1451,442
0,1547,488
0,1026,497
0,614,491
0,624,473
0,1002,382
0,966,325
0,906,334
0,870,307
0,784,241
0,610,168
0,426,115
0,296,60
0,269,41
0,193,36
0,131,30
0,218,47
0,389,76
0,671,127
0,797,225
0,990,261
0,1077,366
0,1225,394
0,1237,414
0,1297,425
0.76,1334,453
0.38,1290,430
0,1285,432
0,1158,370
0,1052,364
0,879,325
0,838,269
0,869,228
0,973,193
0,671,153
0,493,85
0,360,62
0,393,38
0,200,34
0,130,22
0,149,31
0,219,46
0,405,67
0,500,121
0,718,183
0,997,296
0,1145,338
0,1217,393
0,1245,377
0,1215,375
0,714,385
0,1119,372
0,1081,374
0,958,379
0,767,253
0,678,267
0,678,186
0,561,174
0,340,93
0,194,48
0,144,24
0,81,20
0,84,20
0,200,42
0,573,109
0,1422,249
0,1706,300
0,1295,310
0,1295,285
0,1056,327
0,1125,327
0,1175,380
0,1142,398
0,1299,456
0,1407,516
0,1284,504
0,1409,487
0,1186,396
0,903,338
0,857,294
0,764,206
0,504,211
0,326,130
0,234,89
0,172,59
0,95,49
0,71,25
0,174,38
0,546,111
0,1417,257
0,1620,275
0,1073,328
0,1324,277
0,1163,307
0,1128,368
0,1203,351
0,1166,375
0,1359,468
0,1581,514
0,1534,509
0,1428,553
0,1368,409
0,939,349
0,798,269
0,728,245
0,504,190
0,368,126
0.083333333,208,80
0.166666667,123,61
0.25,81,54
0.125,77,27
0,201,41
0,526,117
0,1389,250
0,1736,303
0,1199,293
0,1347,325
0,1099,270
0,1159,356
0,1275,385
0,1169,356
0,1287,509
0,1384,509
0,1329,491
0.125,1316,521
0.25,1258,391
0,932,331
4.32,782,311
0,817,246
0,868,231
0,395,134
0,240,79
0,179,66
0,112,57
0,87,29
0,189,43
0,555,107
0,1369,269
0,1679,264
0,1259,345
0,1388,295
0,1127,314
0,1188,353
0,1136,371
0,1222,397
0,1361,478
0,1646,537
0,1559,561
0,1486,524
0,1392,395
0,992,308
0,893,312
0,790,303
0,629,227
0,378,142
0,245,83
0,145,79
0,158,67
0,91,28
0,182,39
0,529,105
0,1242,235
0,1713,290
0,1487,286
0,1324,308
0,1141,351
0,875,343
0,830,453
0,1390,429
0,1448,503
0,1636,411
0,1547,550
0,1418,501
0,1158,392
0,945,325
0,819,286
0,904,298
0,927,261
0,709,168
0,453,103
0,297,62
0,245,49
0,154,33
0,110,31
0,184,40
0,286,78
0,482,113
0,661,212
0.25,884,229
0.25,1025,326
5.84,1147,396
4.83,1109,365
0.76,1202,400
0.506666667,1163,442
0.253333333,1181,470
0,1196,404
0,1286,408
0,1105,370
0,932,327
0,868,292
0,831,236
0,851,246
0,791,161
0,759,104
0,438,86
0,330,30
0,231,31
0,98,20
0,120,26
0,236,40
0,393,57
0,597,141
0,860,185
0,1107,304
0,1183,313
0,1218,357
0,1225,335
0,1118,358
0,1160,339
0,1336,335
0,1148,372
0,899,324
0,849,304
0,764,278
0,635,251
0,579,155
0,362,92
0,236,51
0,138,23
0,91,17
0,89,27
0,173,42
0,533,120
0,1206,210
0,1293,230
0,980,282
0,1249,285
