0,18
0,14
0,8
0,13
0,23
0,65
0,90
0,98
0,115
0,144
0,147
0,190
0,158
0,167
0,182
0,122
0.125,133
0.25,186
0,177
0,141
0,122
0,82
0,77
0,34
0,23
0,21
0,5
0,6
0,15
0,27
0,59
0,118
0,121
0,177
0,164
0,176
0,164
0,145
0,151
0,130
0,163
0,152
0,138
0,97
0,102
0,90
0,45
0,61
0,28
0,17
0,16
0,3
0,10
0,9
0,36
0,68
0,105
0,129
0,149
0,168
0,144
0,145
0,128
0,145
0,143
0,114
0,117
0,68
0,68
0.125,56
0.25,24
0,15
1.02,5
0,6
0,4
0,7
0,28
0,57
0,66
0,74
0,74
0,113
0,124
0,107
0,125
0,120
0,104
0,68
0,73
0,131
0,158
0,116
0,98
0,64
0,27
0,15
0,9
0,5
0,6
0,8
0,28
0,46
0,65
0,66
0,91
0,121
0,122
0,133
0,112
0,104
0,105
0,77
0,68
0,147
0,129
0,114
0,104
0,82
0,32
0,11
0.255,12
0.51,9
0.255,5
0,8
0,26
0,49
0,82
0,161
0,93
0,105
0,124
0,116
0,127
0,125
0,120
0,75
0,83
0,125
0,139
0,145
0,116
0,68
0,42
0,14
0,13
0,5
0,5
0,11
0,30
0,61
0,60
0,76
0,108
0,83
0,121
0,133
0,115
0,123
0.1275,98
0.255,69
0.3825,49
0.51,114
1.52,156
0,119
0,115
0,63
6.6,42
3.3,31
0,14
0,7
0.25,6
0,10
0,26
0,54
0,72
0.255,84
0.51,97
0,123
0,153
0,156
0,129
0,159
0,88
0,91
0,81
0,170
0,139
0,138
0,103
0,87
0,66
0,41
0,29
0,14
0,8
0,7
0,22
0,25
0,64
0,84
0,134
0,179
0,195
0,237
0,192
0,201
0,175
0,221
0,191
0,183
0,156
0,126
0,114
0,87
0,67
0,39
0,19
0,16
0,10
0,10
0,5
0,19
0,40
0,53
0,94
0,121
0,171
0,186
0,199
0,194
0,191
0,235
0,184
0.25,159
0,139
0,93
0,84
0,37
0,29
0,8
0.25,6
3.3,8
1.02,7
4.06,11
6.1,30
3.3,49
1.02,83
0.765,109
0.51,86
0.255,105
0,134
0,138
0,128
0,150
0,127
0,117
0,118
0,178
0,186
0,133
0,101
0,62
0,43
0,22
0,10
0.125,5
0.25,5
0.51,8
0.255,25
0,60
0.25,79
0.25,97
0.125,117
0,90
0,139
0,172
0,134
0,165
0,127
0,116
0,120
0,185
0,183
0,136
0,114
0,79
0,39
0,24
0,14
0,4
0,8
0,6
0,33
0,73
0,82
0,83
0,106
0,108
0,145
0,127
0,162
0,167
0,145
0,88
0,98
0,196
0,182
0,143
0,108
0,87
0,34
0,18
0,13
0,8
0,5
0,6
0,33
0,55
0,68
0,91
0,82
0,102
0,135
0,163
0.25,128
0.25,134
0.25,114
0.25,91
0.25,97
0.25,135
0.25,140
0.51,133
0.76,100
1.52,68
1.02,41
1.78,25
1.27,14
0.51,10
0.38,7
0.25,9
0,29
0,68
0,75
0,108
0,101
0,107
0,151
0,161
0,156
0,159
0,122
0,78
0,85
0,149
0,141
0,136
0,121
0,101
0,70
0,55
0,24
0,18
0,13
0,9
0,15
0,28
0,65
0,129
0,139
0,179
0,178
0,174
0,139
0,140
0,166
0,153
0,164
0,168
0,134
0,146
0,103
0,110
0,61
0,44
0,26
0.76,22
1.52,9
0,7
0,10
0,23
0,34
0,48
0,96
0,113
0,159
0.406,184
0.812,173
1.218,167
1.624,159
2.03,140
1.015,139
0,154
0,169
0,93
0,74
0,48
0,36
0,10
0,9
0,3
0,6
0,5
0,28
0,54
0,67
0,143
0,89
0,105
0,133
0,142
0,103
0,124
0,147
0,120
0,108
0,196
0,177
0,157
0,115
0,64
0,33
0,28
0,9
0,3
0,7
0,9
0,28
0,58
0,88
0,95
0,91
0,88
0,139
0,171
0,132
0,135
0,125
0,92
0,96
0,154
0,180
0,184
0,136
0,83
0,34
0,21
0,12
0,4
0,7
0,10
0,29
0,43
0,86
0,80
0,80
0,107
0,168
0,157
0,144
0,146
0,137
0,68
0,119
0,145
0,178
0,148
0,133
0,79
0,53
0,19
0,10
0,4
0,9
0,9
0,32
0,54
0,76
0,100
0,116
0,106
0,141
0,166
0,130
0,145
0,133
0,89
0,101
0,171
0,165
0,162
0,98
0,88
0,41
0,18
0,16
0,9
0,13
0,7
0,28
0,51
0,81
0,97
0,122
0,115
0,181
0,187
0,164
0,143
0,116
0,126
0,129
0,181
0,143
0,109
0,126
0,85
0,66
0,38
0,18
0,13
0,9
0,7
0,11
0,28
0,58
0,86
0,127
0,154
0,160
0,197
0,173
0,156
0,185
0,184
0,183
0,169
0,157
0,107
0,101
0,84
0,60
0,39
0,21
0,21
0,8
0,6
0,7
0,14
0,20
0.51,42
0,78
0,110
0,136
0,155
0,140
0,153
0.38,157
0.76,169
0.25,174
0.25,124
0.76,127
0.76,84
0.76,81
1.27,70
1.02,46
0.76,25
0.51,18
